spectr,magnitudo,mass,radius,temperature,metal,age,planet_type
K6 V,10.54,0.74,0.678,4440,0.12,5,очень теплый нептун
K6 V,10.54,0.74,0.678,4440,0.12,5,теплый нептун
K7 V,9.92,0.68,0.665,4552,-0.28,,очень теплая земля
K7 V,9.92,0.68,0.665,4552,-0.28,,очень теплый нептун
G9 V,11.98,0.929,0.92,5375,0.19,6.7,горячий нептун
K0 III,9.86,1.87,6.26,5130,-0.08,1.35,горячий гигант
F6,11.02,1.32,1.7,6420,0.16,,горячий гигант
G1 V,12.9,1.08,1.14,5871,0.1,5.1,горячий гигант
G2 V,12.91,1.26,1.134,5838,0.34,1,горячий гигант
F6,11.09,1.39,1.71,6406,0.16,2.4,горячий гигант
G8,12.54,0.97,1.015,5499,-0.34,11.4,горячий гигант
G1 V,12.79,0.93,0.94,5593,0.21,4.8,горячий гигант
F8 V,11.3,1.129,1.147,6075,0.07,1.6,горячий гигант
G5,11.9,1.04,1.137,5552,0.38,,горячая земля
G5,11.9,1.04,1.137,5552,0.38,,горячий гигант
G5,11.9,1.04,1.137,5552,0.38,,горячий нептун
K3 V,12.19,0.84,0.8,4953,0.22,,горячий гигант
F9 V,10.42,1.213,1.83,6100,-0.27,,горячий гигант
G1 V,11.8,1.01,1.06,5900,-0.2,,горячий гигант
F9 V,11.45,1.14,1.26,6100,0.07,4,горячий гигант
F5 V,10.25,1.47,1.93,6720,-0.07,1.9,горячий гигант
G0,10.52,1.405,1.48,6250,0.43,1.2,горячий гигант
K1 Ve,10.86,1.1,1.19,4749,,0.014,горячий гигант
K2 III,9.58,1.14,32.4,4095,-0.71,5.25,горячий гигант
K3 V,9.86,0.74,,4746,-0.07,4.5,горячий нептун
G4 V,10.08,0.99,1.71,5400,0.5,4.18,горячий гигант
G0 V,13.6,0.95,1.11,5950,-0.3,,горячий гигант
F6 V,12.94,1.27,1.37,6440,-0.03,2,горячий гигант
G2 V,15.52,1.08,1.12,5675,0.16,6.3,горячий гигант
G0 V,15.04,1.09,1.01,5945,0.01,1.64,горячий гигант
F9 V,16.03,1.13,1.21,6035,0.05,0.6,горячий гигант
G2 V,15.46,1.04,1.59,5740,0,10.7,горячий гигант
G9 V,14.99,0.95,1,5440,-0.1,,горячий гигант
F9 V,14.78,1.21,1.65,6090,-0.02,5,горячий гигант
G7 V,12.57,0.97,0.902,5625,0,,горячий гигант
F8 IV,16,1.29,1.945,6200,0,,горячий гигант
G3 V,13.94,1.1,1.136,5939,0.17,3.3,горячий нептун
G0 V,15.63,1.14,1.61,5900,0.05,7.2,горячий гигант
K1 V,15.1,0.91,0.86,4950,0.3,11,горячий нептун
K1 V,15.1,0.91,0.86,4950,0.3,11,очень теплый нептун
F9 V,15,1.09,1.19,6040,-0.01,4.5,горячий гигант
G5,15.8,1.09,1.79,5590,0.01,8.6,горячий гигант
G2 V,15.54,1.05,1.08,5900,0.1,4.2,горячий гигант
G8 IV,13.78,1.01,1.78,5150,0.15,12,горячий гигант
K0 V,15.56,0.97,0.9,5260,0.2,4.5,горячий гигант
F8 V,13.7,1.1,1.14,6190,0.05,1,горячий гигант
F9 V,14,1,1.186,6100,-0.25,6.9,горячий гигант
F9 V,13.9,1.055,1.025,6090,-0.2,,горячий гигант
K0 V,11.7,0.93,0.87,5275,0.03,1.5,горячая земля
K0 V,11.7,0.93,0.87,5275,0.03,1.5,горячий нептун
K0 V,11.7,0.93,0.87,5275,0.03,1.5,очень теплый нептун
K1 V,14.8,0.88,0.77,5080,0.3,1.5,очень теплый гигант
M4 V,13.49,0.18,0.21,3270,-0.12,5,очень теплая земля
M5 V,13.84,0.172,0.2,3250,0.2,6,очень теплая земля
"M2,5 V",12.19,0.38,0.39,3458,0.1,3.9,горячая земля
M4 V,13.67,0.178,0.192,3236,-0.04,,теплый нептун
M2 V,10.89,0.406,0.413,3556,,,теплый нептун
M3.5 V,9.87,0.29,0.29,3382,0.09,,очень теплая земля
M0 V,10.98,0.681,0.5,3717,-0.3,,горячая земля
M0 V,10.98,0.681,0.5,3717,-0.3,,очень теплая земля
M1.5 V,12.27,0.527,0.5,3622,0.18,3,очень теплый нептун
"M2,5 V",11.95,0.45,0.43,,,,очень теплый нептун
M4 V,13.01,0.27,0.28,3324,0,,очень теплый нептун
M1 V,10.83,0.5,0.49,3722,-0.16,,очень теплая земля
M1.5 V,9.79,0.48,,3600,-0.22,,очень теплая земля
"M2,5 V",10.68,0.445,0.449,3479,-0.32,6,горячая земля
M3.5 Ve,11.5,0.45,,,,,теплый нептун
"M2,5 V",9.38,0.35,,3600,-0.28,0.55,очень теплый нептун
M0.5 V,9.97,0.55,0.54,3816,-0.15,,теплый нептун
M0.5 V,9.83,0.57,0.56,3837,-0.14,,теплый нептун
K6 V,10.25,0.606,0.602,4305,-0.5,10,горячая земля
K6 V,10.25,0.606,0.602,4305,-0.5,10,очень теплая земля
K6 V,10.25,0.606,0.602,4305,-0.5,10,очень теплый нептун
M3 V,13.55,,,,,0.1,горячий гигант
G0 V,10.4,1.15,1.174,5980,0.13,3.6,горячий гигант
K4 V,12.84,0.69,0.68,4665,-0.2,5.3,горячий гигант
G4 V,10.62,1.26,1.73,5638,0.43,5,горячий гигант
F5 V,9.98,1.386,1.47,6600,0.11,1.3,горячий гигант
G5,12.16,1.013,1.08,5568,0.22,6.8,горячий гигант
F8 V,10.8,1.22,1.24,6158,0.17,2,горячий гигант
K2 V,12.76,0.77,0.75,4800,0.1,12.4,очень теплый гигант
K1 V,12.9,0.84,0.82,4990,0.23,8.8,горячий гигант
K3 V,11.34,0.756,0.694,4595,0.35,6.7,горячий гигант
G5 V,9.73,0.94,1.06,5314,0.3,9.6,горячий гигант
G0 V,11.94,1.13,1.2,5905,0.15,4,горячий гигант
F8 V,11.82,1.19,1.32,6373,-0.16,2.8,горячий гигант
G5 V,13.19,1.01,0.96,5500,0.31,3.2,горячий гигант
K1 V,11.74,0.816,0.79,5079,-0.04,9,горячий нептун
G3 V,13.03,1.025,1.1,5680,0.12,6.1,горячий гигант
F8 V,11.9,1.207,1.22,6087,0.21,2.2,горячий гигант
K,11.86,0.925,0.85,5190,0.24,2.6,горячий гигант
G0,11.29,1.18,1.39,6000,-0.16,3.8,горячий гигант
F,11.89,1.4,1.78,6400,0.05,2.4,горячий гигант
G0,12.46,1.236,1.435,6096,0.11,3.5,горячий гигант
G,12.26,1.02,1.096,5580,0.26,6.6,горячий гигант
G,13.23,0.93,0.87,5500,0.03,3.6,горячий гигант
F,12.42,1.404,1.625,6430,0.19,2,горячий гигант
F,11.2,1.26,1.59,5860,0.24,4.2,горячий гигант
F,11.7,1.51,2.206,6080,0.22,2.7,горячий гигант
F,11.09,1.418,1.683,6390,0.21,2.2,горячий гигант
G2 V,12.17,1.18,1.53,5743,0.27,5.1,горячий гигант
G4 V,13.36,1.05,1.1,5645,0.23,5.7,горячий гигант
G8,13.21,0.94,0.98,5295,0.33,8.9,горячий гигант
F7 V,12.79,1.26,1.32,6330,0.07,2,горячий гигант
F8 V,11.94,1.28,1.4,6120,0.3,2.5,горячий гигант
F8 V,11.94,1.28,1.4,6120,0.3,2.5,очень теплый гигант
F,10.69,1.39,1.515,6703,0,1.5,горячий гигант
F9 V,12.16,1.1,1.22,5946,0.02,4.7,горячий гигант
F,10.33,1.54,1.83,6820,0.07,1.5,горячий гигант
G0,12,1.163,1.137,5960,0.24,1.7,горячий гигант
K7 V,13.5,0.645,0.617,4390,-0.13,3.9,очень теплый гигант
G1 V,13.21,1.013,1.011,5808,-0.03,4.2,горячий гигант
G0,12.97,1.03,1.53,6078,-0.22,7.1,горячий гигант
G3 V,11.88,1.01,1.104,5678,0.22,7.3,горячий гигант
F,10.5,1.29,1.46,6570,-0.13,2.3,горячий гигант
F8,9.71,1.435,2.2,6212,0.04,2.76,горячий гигант
G5 V,13.19,1,0.938,5587,0.19,2.6,горячий гигант
G4 V,12.44,1.02,1.17,5629,0.41,8.1,горячий гигант
G7 V,13.75,0.925,0.966,5400,0.25,9,горячий гигант
F5 V,12.77,1.3,1.735,6457,-0.11,2.88,горячий гигант
G2,13.15,1.21,1.86,5835,0.1,5.46,горячий гигант
G0,12.99,1.26,1.88,6002,0.04,4.66,горячий гигант
F,10.07,1.64,2.55,6406,-0.08,1.24,горячий гигант
K5 V,13.94,0.68,0.67,4508,-0.06,11.1,горячий гигант
A,9.77,1.7,1.854,7724,-0.06,1.27,горячий гигант
F6 V,10.5,1.47,1.84,6350,0.26,2.2,горячий гигант
A2 V,9.47,1.89,1.86,8450,-0.06,0.6,горячий гигант
F7 V,10.17,1.28,1.58,6200,0.01,3.4,горячий гигант
F,12.3,1.28,1.32,6350,0.12,1.6,горячий гигант
G0,12.05,0.986,1.04,5870,-0.06,6,горячий гигант
G1 V,13.11,1.1,1.11,5880,0.15,3.3,горячий гигант
G5 V,13.89,0.96,0.89,5523,0.05,2.5,горячий гигант
G8 V,13.79,0.967,0.933,5346,0.33,4.9,горячий гигант
G1 V,12.39,1.13,1.09,5846,0.3,2.1,очень теплый гигант
G,14.07,1.04,1.02,5600,0.28,4.2,горячий гигант
G0,13.03,1.3,1.75,5896,0.24,3.94,горячий гигант
K,13.6,0.88,0.89,5227,0.15,9.7,горячий гигант
G9 V,13.77,0.91,0.89,5406,0.03,6.4,горячий гигант
G4 V,12.19,1.08,1.02,5695,0.3,2.3,горячий гигант
K,13.46,0.76,0.69,4803,0,,очень теплый гигант
G2 V,13.9,1.12,1.12,5780,0.28,4.2,горячий гигант
F7 V,12.83,1.21,1.17,6346,0,0.88,горячий гигант
F,12.44,1.3,1.73,6325,-0.14,3.1,горячий гигант
F9,13.11,1.28,1.87,6050,0,4.3,горячий гигант
G3 V,14.38,1.1,1.1,5700,0.39,3.5,горячий гигант
G4 V,11.91,1.06,1.02,5659,0.29,3,горячий гигант
G9 V,13.85,0.955,0.98,5380,0.25,7.7,горячий гигант
F,12.56,1.32,1.43,6300,0.21,2.13,горячий гигант
F,12.75,1.38,1.62,6572,0,2.06,горячий гигант
G,13.46,1,0.925,5403,0.43,2.1,горячий гигант
F,13.38,1.56,2.26,6460,0.01,2.07,горячий гигант
F,12.68,1.5,1.71,6424,0.47,1.34,горячий гигант
F9,13.62,1.27,1.48,6060,0.22,3.26,горячий гигант
K,14.83,0.674,0.656,4512,-0.11,8.1,очень теплый гигант
K,14.35,0.728,0.715,4546,0.19,12,горячий гигант
K,15,0.713,0.698,4405,0.21,10.5,очень теплый гигант
G8 V,12.63,0.94,0.87,5304,0.19,3.6,горячий гигант
G0,14.03,1.17,1.12,5990,0.3,1.2,горячий гигант
G2,12.47,1.19,1.44,5758,0.3,4.74,горячий гигант
F9 V,13.67,1.111,1.046,6010,0.22,1.2,горячий гигант
G4 V,14.14,0.964,1.1,5644,0.01,9,горячий гигант
F8 V,13.47,1.196,1.126,6214,0.11,0.4,горячий гигант
F5 IV,11.58,1.573,2.201,6536,0.19,1.89,горячий гигант
G4 V,12.34,1.026,0.96,5587,0.27,2.5,горячий гигант
F,11.55,1.461,1.433,7175,,0.31,горячий гигант
G3 V,13.95,1.04,1.036,5670,0.18,4.3,горячий гигант
G,12.64,1.1,1.46,5690,0.33,7.53,горячий гигант
G5,13.23,1.075,1.667,5541,0.24,8.93,горячий гигант
G8 V,14.02,0.911,0.923,5435,0.14,8,горячий гигант
G4 V,13.89,0.93,1.07,5626,0.08,10.4,горячий гигант
F6,12.92,1.56,2.11,6560,0.21,1.86,горячий гигант
F8 V,12.5,1.27,1.296,6276,0.23,1.42,горячий гигант
F,14.1,1.406,1.85,6606,-0.03,2.29,горячий гигант
F,13.65,1.44,1.44,6605,0.34,0.44,горячий гигант
F8,12.28,1.34,1.77,6122,0.16,3.14,горячий гигант
K1 V,13.95,0.892,0.879,5137,0.38,8,горячий гигант
K2 V,13.34,0.85,0.815,4985,0.25,7.8,горячий нептун
K,12.47,0.731,0.721,4656,0.1,12.2,очень теплый гигант
G3 V,14.03,1.06,1.09,5679,0.21,5.1,горячий нептун
G9 III,6.45,2.4,9.3,4861,0.15,,очень теплый гигант
G1 V,7.33,1.06,,5911,0.08,4.3,горячий нептун
G1 V,7.33,1.06,,5911,0.08,4.3,горячая земля
G1 V,7.33,1.06,,5911,0.08,4.3,очень теплый нептун
G1 V,7.33,1.06,,5911,0.08,4.3,очень теплый нептун
G1 V,7.33,1.06,,5911,0.08,4.3,очень теплая земля
G1 V,7.33,1.06,,5911,0.08,4.3,теплый нептун
G6 V,7.47,1.03,1.27,5672,0.3,12.6,очень теплый нептун
G8 V,8.06,0.89,0.837,5291,0.05,2.4,горячий гигант
K0,8.71,1.9,10.1,4908,-0.26,,горячий гигант
K0 III,8.02,1.68,4.4,5054,0.19,2.3,горячий гигант
K1 V,9.41,0.9,,5303,0.21,9.1,очень теплый нептун
K3 V,9.49,0.794,0.73,5017,-0.02,3.8,горячий гигант
F9,6.55,1.28,2.22,6072,-0.19,3.68,эксцентричный холодный гигант
K2 V,7.93,0.79,,4969,-0.06,4.33,теплый нептун
G9 III,5.79,1.6,10.87,4786,-0.35,2.95,очень теплый гигант
G0 V,7.36,1.05,1.05,5896,-0.04,3,эксцентричный холодный гигант
K2 III,5.88,1.2,17.1,4501,-0.43,4.6,очень теплый гигант
G5,8.01,1.12,,5797,0.31,5.6,очень теплый гигант
G3 V,9.24,0.87,0.877,5660,-0.28,6.7,горячая земля
G3 V,9.24,0.87,0.877,5660,-0.28,6.7,горячий нептун
G3 V,9.24,0.87,0.877,5660,-0.28,6.7,очень теплый нептун
G3 V,9.24,0.87,0.877,5660,-0.28,6.7,очень теплый нептун
G3 V,9.24,0.87,0.877,5660,-0.28,6.7,очень теплый нептун
K0,7.89,1.85,5.6,4956,0.2,1.8,очень теплый гигант
G5,8.76,1,1.22,5407,0.14,7.26,эксцентричный холодный гигант
G0 V,8.77,1.01,1.02,5844,0.1,,очень теплый гигант
G5,8.05,1.047,1.41,5783,0.1,7.3,очень теплый нептун
G3 IV,8.1,1.2,,5610,0.25,10.3,горячий гигант
G8 V,7.61,0.78,,5494,-0.36,5.2,эксцентричный холодный гигант
G4 IV,4.85,1.364,2.2,5574,0.19,,эксцентричный холодный гигант
G0 V,7.51,1.24,1.33,6055,0.29,2.4,эксцентричный холодный гигант
K2 III,5.66,1.4,14.8,4469,-0.11,3.7,очень теплый гигант
F8 V,8.17,1.01,1.03,5920,0.05,,очень теплый гигант
K4 V,9.03,0.756,,4908,0.02,7.1,очень теплый нептун
G6 V,7.44,1.02,1.11,5748,0.36,6.39,эксцентричный холодный гигант
G8 V,8.8,0.99,,,0.25,,эксцентричный холодный гигант
G0 V,8.45,0.97,,5885,0.18,6.4,эксцентричный холодный гигант
G6 IV,6.85,1,,,,,горячий нептун
K1 V,8.71,0.86,0.82,5240,0.18,6.45,эксцентричный холодный гигант
G2,10,1.04,1.59,5799,-0.03,8.3,горячая земля
K2 V,8.38,0.8,,,,,очень теплый нептун
F8 V,7.51,1.29,1.67,6255,0.01,2.9,горячий гигант
K4 III,5.98,1.35,11.47,4700,-0.13,3.07,очень теплый гигант
K0,7.2,1.14,1.46,5360,0.18,,очень теплый гигант
G2 V,7.25,1.03,0.99,5879,0.12,2.32,эксцентричный холодный гигант
K0 V,7.7,0.99,0.705,5382,0.19,13.3,эксцентричный холодный гигант
F7 V,6.75,1.51,1.62,6380,0.15,,горячий гигант
G0 V,5.41,0.99,1.36,5627,-0.31,9,очень теплый гигант
G0 V,5.41,0.99,1.36,5627,-0.31,9,очень теплый нептун
K0 III,6.57,1.9,9.9,4757,-0.14,,очень теплый гигант
G0 V,6.64,1.08,1.095,5765,0.19,6.3,горячий нептун
G0 V,6.64,1.08,1.095,5765,0.19,6.3,очень теплая земля
F8 V,7.69,1.22,1.21,6308,0.29,,эксцентричный холодный гигант
G0 IV,8.15,1.3,1.5,6147,0.36,2,горячий гигант
G0 IV,7.9,1.1,,5730,0.26,7.6,горячий гигант
K0,8.52,1.61,4.5,5049,0.09,2.4,очень теплый гигант
G6 V,9.18,1.02,,,0.16,,эксцентричный холодный гигант
K0,8.54,0.927,4.8,5155,-0.46,12,очень теплый гигант
K3 V,8.42,0.772,0.72,4850,0.05,8.6,очень теплая земля
G0 V,8.65,1.125,1.12,6123,0.05,1.25,горячий гигант
G2 V,7.08,0.99,,5790,-0.04,,очень теплый нептун
K2 V,9.7,0.8,,,-0.18,,эксцентричный холодный гигант
G9 V,6.99,0.926,0.946,5390,0.18,9.6,очень теплая земля
G9 V,6.99,0.926,0.946,5390,0.18,9.6,теплый нептун
K1 III,5.97,1.64,4.3,5020,0.05,2.2,очень теплый гигант
G8 III,6,1.08,9.7,4851,-0.67,5.3,горячий гигант
G5,7.95,0.88,1.12,5610,-0.06,3.75,горячий гигант
F8 V,5.9,1.4,1.84,6266,0.21,4.95,эксцентричный холодный гигант
G8 V,8.66,0.92,,5467,0.17,7,эксцентричный холодный гигант
G5 IV,8.01,1.1,,,0.19,,эксцентричный холодный гигант
G6 V,8.61,0.74,0.71,5392,-0.62,10.3,очень теплый нептун
K2.5 V,8.45,0.79,0.782,4931,0.03,4.3,очень теплая земля
K2.5 V,8.45,0.79,0.782,4931,0.03,4.3,очень теплый нептун
G5,7.98,1.07,1.14,5650,0.28,5.2,очень теплый гигант
G5 IV,7.95,1.09,1.48,5724,0.29,,горячий нептун
F8 V,6.25,1.18,1.23,6168,0.22,2,горячий гигант
G1 V,7.86,0.92,,5781,-0.53,,эксцентричный холодный гигант
K0 III,5.89,1.35,4.9,4971,-0.17,2.76,очень теплый гигант
K0 III,5.89,1.35,4.9,4971,-0.17,2.76,очень теплый гигант
G0 V,7.22,1.22,,6075,0.05,3.3,эксцентричный холодный гигант
G5 V,7.86,1.04,1.143,5815,0.12,5.33,горячий гигант
K1 V,7.67,0.8,0.788,4980,-0.03,0.6,горячий гигант
G6 IV,5.71,1.04,1.2,5588,0.24,12,очень теплый нептун
G0,8.09,1.14,1.38,6010,0.3,2.9,эксцентричный холодный гигант
G9 V,8.97,0.81,0.94,5348,-0.15,8.7,горячий нептун
G9 V,8.97,0.81,0.94,5348,-0.15,8.7,очень теплый нептун
G9 V,8.97,0.81,0.94,5348,-0.15,8.7,очень теплый нептун
K2 V,7.79,0.81,0.75,4965,-0.2,0.57,очень теплый гигант
G8 IV,6.44,1.68,4.25,5220,-0.15,1.8,очень теплый гигант
G3 IV,6.91,1.06,1.38,5787,0.08,5.33,очень теплый гигант
G3 V,7.5,1.17,1.29,5874,0.23,3.17,эксцентричный холодный гигант
G5 III,6.51,1.34,1.73,,0.23,5.8,эксцентричный холодный гигант
G8 V,8.39,0.875,0.94,5495,0.04,,очень теплый нептун
G5,8.23,1.12,1.33,5780,0.19,5.2,эксцентричный холодный гигант
G2 IV,9.01,0.98,1.21,5947,0.1,5.28,эксцентричный холодный гигант
G5 V,7.99,1.045,,5767,0.18,3.4,очень теплый нептун
G5 V,7.99,1.045,,5767,0.18,3.4,эксцентричный холодный гигант
K0 V,8.48,0.7,0.85,5256,-0.11,,горячая земля
K0 V,8.48,0.7,0.85,5256,-0.11,,очень теплая земля
K0 V,8.48,0.7,0.85,5256,-0.11,,очень теплый нептун
G8 V,4.26,0.85,0.9,5490,-0.38,14,очень теплая земля
M1 III,6.4,1.6,51,4035,-0.09,2,горячий гигант
K3 IV,9.92,0.78,0.79,4795,0.04,4.5,эксцентричный холодный гигант
G0 V,7.65,1.15,1.146,6075,0.02,4,горячий гигант
K1 III,5.93,1.85,4.72,5010,0.12,1.4,очень теплый гигант
G5,8.59,1.03,1.13,5652,0.17,,эксцентричный холодный гигант
G8 IV,7.6,1.15,5,5121,-0.21,6,очень теплый гигант
K3 V,8.13,0.77,0.73,4935,-0.1,,очень теплая земля
K3 V,8.13,0.77,0.73,4935,-0.1,,очень теплая земля
G0 V,6.63,1.1,,,,,очень теплый нептун
K3 V,8.97,0.87,,5113,0.23,7,горячая земля
K3 V,8.97,0.87,,5113,0.23,7,эксцентричный холодный гигант
G4 IV,6.06,1.06,,5636,0.25,12.96,эксцентричный холодный гигант
G8 V,7.95,0.8,0.9,5430,0,,очень теплый нептун
G8 V,7.95,0.8,0.9,5430,0,,очень теплый нептун
G8 IV,6.16,1.11,1.5,5704,0.39,7.32,горячий гигант
K3 V,5.57,0.81,0.778,4699,0.11,11,горячая земля
K3 V,5.57,0.81,0.778,4699,0.11,11,очень теплая земля
K3 V,5.57,0.81,0.778,4699,0.11,11,очень теплый нептун
K3 V,5.57,0.81,0.778,4699,0.11,11,теплый нептун
K3 V,5.57,0.81,0.778,4699,0.11,11,теплый нептун
K0 III,8.94,1,2.9,4820,-0.04,,эксцентричный холодный гигант
G7 V,9.9,0.92,1.03,5527,0.04,10,горячий нептун
G0 IV,8.04,1.23,1.7,5891,0.19,5.8,горячий нептун
M2 III,6.4,1.2,49.7,3935,-0.25,4.5,горячий гигант
F9 V,7.09,1.16,,5940,0.09,4.4,эксцентричный холодный гигант
G2 IV,8.23,1.33,1.7,6037,0.34,2,очень теплый гигант
G2 V,8.58,1.13,,5927,0.34,7.1,эксцентричный холодный гигант
F8 V,8.97,1.14,1.35,6208,0.07,4.9,очень теплый гигант
K5 III,10.4,1.5,10.9,4791,-0.36,2.4,горячий гигант
F8 IV,7.24,1.27,2.09,5888,0.32,6.89,эксцентричный холодный гигант
K3 III,8.33,1.25,,4290,-0.18,,очень теплый гигант
G5,9.44,0.93,,5192,0.16,3,горячий гигант
F2 IV,9.59,1.44,1.57,6801,0.02,1.3,горячий гигант
K2 V,9.36,0.8,,4875,0.3,3.9,очень теплый гигант
K2 V,9.36,0.8,,4875,0.3,3.9,очень теплый нептун
F8,9.38,1.26,1.446,6120,0,1.1,горячая земля
F8,9.38,1.26,1.446,6120,0,1.1,очень теплый нептун
F8,9.38,1.26,1.446,6120,0,1.1,очень теплый нептун
K5 V,10.47,0.734,0.656,4503,0.13,0.625,очень теплый гигант
K0,8.54,1.74,6.2,5076,-0.11,1.8,очень теплый гигант
K0 III,5.93,2.55,12,4844,0,,очень теплый гигант
G8 V,8.41,0.95,1.12,5320,0.19,,эксцентричный холодный гигант
F8 V,5.77,1.23,1.53,5994,0.29,3.6,эксцентричный холодный гигант
G2 V,7.49,0.96,1.05,5898,-0.17,,очень теплый нептун
G2 V,7.49,0.96,1.05,5898,-0.17,,очень теплый нептун
K1 III,6.44,1.13,10.22,4580,-0.15,5.8,горячий гигант
G5,9.36,0.95,,,0.03,6.2,горячий гигант
K0 III,7.96,1.52,4.17,5025,0.06,2.72,очень теплый гигант
K0 III,7.96,1.52,4.17,5025,0.06,2.72,очень теплый гигант
G0,7.31,1.07,1.38,5836,0.14,8.5,эксцентричный холодный гигант
K0 V,8.08,0.8,,,,,очень теплая земля
K2 V,7.17,0.77,,4956,-0.31,4.5,горячая земля
K2 V,7.17,0.77,,4956,-0.31,4.5,очень теплая земля
K2 V,7.17,0.77,,4956,-0.31,4.5,очень теплый нептун
K2 V,7.17,0.77,,4956,-0.31,4.5,очень теплая земля
K1 V,8.65,0.7,,5035,-0.09,1.64,эксцентричный холодный гигант
G4 V,6.84,1.015,1,5727,-0.09,,теплый нептун
G5,7.83,1.72,4.9,5035,0.14,2,очень теплый гигант
K0 III,6.77,1.8,18.2,4440,0.1,1.8,очень теплый гигант
G1 V,6.37,1.03,1.03,5869,0.04,,горячий нептун
G1 V,6.37,1.03,1.03,5869,0.04,,очень теплый нептун
G5 IV,7.88,1.02,1.27,5754,0.29,5.59,эксцентричный холодный гигант
G9 V,8.1,0.83,,5312,0.29,,очень теплый гигант
G5 V,7.8,0.99,,5675,0.23,,горячий нептун
G5 V,7.8,0.99,,5675,0.23,,эксцентричный холодный гигант
G0 IV,7.21,1.31,1.42,6099,0.38,2.4,эксцентричный холодный гигант
F8 V,6.86,1.04,1.02,5987,-0.04,2.16,эксцентричный холодный гигант
G7 V,8.17,0.8,0.88,5358,-0.07,,очень теплый нептун
G7 V,8.17,0.8,0.88,5358,-0.07,,теплый нептун
G0 V,7.93,1.29,1.52,6012,0.37,2.64,эксцентричный холодный гигант
G5,8.25,1.91,8.7,4907,-0.02,1.5,очень теплый гигант
K4 V,9.37,0.8,,4841,0.11,1,горячий гигант
G9 V,8.1,0.865,,5432,-0.16,4.77,эксцентричный холодный гигант
G5 V,8.58,0.933,0.96,5534,0.07,6.8,горячий нептун
G5 V,8.58,0.933,0.96,5534,0.07,6.8,очень теплый нептун
G8 III,7.44,1.18,5.44,5066,-0.21,,очень теплый гигант
K2 III,4.39,1.1,22,4323,-0.32,6.84,горячий гигант
F8 V,8.05,1.36,1.55,6330,0.25,1.45,эксцентричный холодный гигант
G0 V,8.21,1.2,1.14,5767,0.24,6.78,горячий гигант
K1 III,5.77,1.43,7.72,4842,0.05,,очень теплый гигант
K0 V,5.95,0.86,0.895,5385,-0.05,7,очень теплый нептун
K0 V,5.95,0.86,0.895,5385,-0.05,7,очень теплый нептун
G2 V,7.46,0.95,1.36,5926,-0.02,6.5,эксцентричный холодный гигант
G5 V,8.9,0.89,1.04,5317,0.03,7.4,эксцентричный холодный гигант
G0,7.62,1.24,1.345,6068,0.13,3.7,эксцентричный холодный гигант
G0 V,6.35,1.05,1.25,6120,0.29,4.96,горячий гигант
K3 IV,7.85,1.41,3.3,4917,0.25,4,эксцентричный холодный гигант
G6 V,8.13,1,1.33,5726,0.14,4.51,горячий гигант
K0 V,8.63,0.93,0.88,5370,0.35,4,горячий нептун
K0 V,7.18,0.83,0.782,5075,-0.15,,горячий нептун
K0 V,7.18,0.83,0.782,5075,-0.15,,очень теплый нептун
G5,8.03,1.06,,5740,0.24,2.7,эксцентричный холодный гигант
G1 V,8.45,1.08,1.06,5837,0.17,,эксцентричный холодный гигант
G2 V,7.72,0.97,0.86,5700,-0.16,1.8,эксцентричный холодный гигант
K0 III,5.41,2.1,13,4753,-0.36,,горячий гигант
K0 V,8.23,1,0.98,5460,0.35,2.64,горячий гигант
G2 V,7.93,1.02,1.053,5863,0.02,4.6,горячий нептун
F7 V,7.42,1.42,1.88,6210,0.2,2.24,эксцентричный холодный гигант
G5 IV,8.01,1.18,1.943,5438,0.33,9.56,горячий гигант
A,7.36,1.6,,,,0.017,горячий гигант
K1 V,8.6,0.76,0.86,5212,0.04,5.1,очень теплый нептун
K0,8.37,1.02,4.5,5148,-0.3,9,очень теплый гигант
G0 V,6.54,0.94,,,,,горячий нептун
K1 V,7.7,0.77,0.741,5170,-0.23,,очень теплый нептун
K0 III,8.21,1.3,4.5,4992,-0.02,4,очень теплый гигант
K2 V,7.58,0.85,0.78,4929,0.3,4.8,очень теплый нептун
G5 V,9.63,0.78,0.82,5180,-0.26,,эксцентричный холодный гигант
G5,8.52,0.99,1,5485,0.26,,горячий гигант
F8,8.93,1.16,1.273,6320,-0.1,3.1,горячий нептун
F8,8.93,1.16,1.273,6320,-0.1,3.1,очень теплый нептун
F8,8.93,1.16,1.273,6320,-0.1,3.1,очень теплый нептун
F8,8.93,1.16,1.273,6320,-0.1,3.1,теплый нептун
F8,8.93,1.16,1.273,6320,-0.1,3.1,теплый нептун
K5 V,10.21,0.78,,4962,0.1,6,эксцентричный холодный гигант
K5 V,8.96,0.73,0.68,4640,0.09,7.87,очень теплый нептун
K5 V,8.96,0.73,0.68,4640,0.09,7.87,очень теплый гигант
K5 V,8.96,0.73,0.68,4640,0.09,7.87,эксцентричный холодный гигант
K0,9.42,0.93,0.79,5460,0.25,,очень теплый гигант
G2,9.88,1.22,1.38,5675,,0.017,горячий гигант
M3 V,11.34,0.49,,3191,0.4,,эксцентричный холодный гигант
G5 V,8.65,0.95,1,5519,0.23,2.4,горячий гигант
K0 V,9.85,0.898,0.836,5198,0.27,,очень теплый нептун
K0 V,9.85,0.898,0.836,5198,0.27,,очень теплый нептун
